Title_A,SKU_A,Price_A,Is_Discounted_A,Category_A,Company_A,Weight_A,Colors_A,Materials_A,Dimensions_A,Title_B,SKU_B,Price_B,Is_Discounted_B,Category_B,Company_B,Weight_B,Colors_B,Materials_B,Dimensions_B,Gold
"Sweet Jojo Designs Designer Dot Collection Window Valance - 84"" L x 15"" W",AC54AE36,29.99,False,Room Decor,Sweet JoJo Designs,,,,-/-/-,Sweet Jojo Designs Designer Dot Window Valance,42021728.0,21.99,False,Bedding & Decor / Baby Bedding / Window Panels & Hardware,Sweet Jojo Designs,,,,"15""/84""/-",1
Carter's - Jungle Collection Contour Changing Pad Cover,C6B7EE03,17.99,False,Nursery Bedding,Carters,,cream / pink,,-/-/-,Carter's Changing Pad Cover,,14.99,False,Furniture / Baby Furniture / Changing Pad Covers,carter's,,,,"32""/16""/-",1
Sweet Jojo Designs Designer Dot Collection Musical Mobile,7D5EE371,46.99,False,Room Decor,Sweet JoJo Designs,,,plastic,-/-/-,Sweet Jojo Designs Deco Dot Musical Mobile,41887981.0,46.99,False,Bedding & Decor / Baby Bedding / Mobiles,Sweet Jojo Designs,,,plastic,"25""/19""/11""",1
Sweet Jojo Designs White Eyelet Collection Changing Pad Cover,1A101AA7,35.99,False,Nursery Bedding,Sweet JoJo Designs,,,,-/-/-,Sweet Jojo Designs Eyelet Changing Pad Cover in White,42071457.0,28.99,False,Furniture / Baby Furniture / Changing Pad Covers,Sweet Jojo Designs,,,,-/-/-,1
One Grace Place - Magical Michayla's Changing Pad Cover,860E0262,22.99,False,Nursery Bedding,One Grace Place,,,,-/-/-,One Grace Place Magical Changing Pad Cover,41398449.0,14.99,False,Furniture / Baby Furniture / Changing Pad Covers,One Grace Place,,,,-/-/-,1
Sweet Jojo Designs Frankie's Fire Truck Collection Toddler Bed Skirt,46430338,38.99,False,Kids' Bedding / Toddler Bedding,Sweet JoJo Designs,,,,-/-/-,Sweet Jojo Designs Frankie's Fire Truck Bedding Collection,,119.99,False,Bedding & Decor / Baby Bedding / Kids Bedding Sets,Sweet Jojo Designs,,beige,,-/-/-,1
Animal Kingdom Giraffe Print Crib Sheet,3BE2BB41,17.99,False,Nursery Bedding / Sheets & Pads,Just Born,,gray,,-/-/-,Lambs & Ivy Animal Kingdom Giraffe Print Fitted Crib Sheet,44336684.0,17.99,False,Bedding & Decor / Baby Bedding / Crib Sheet Sets,Lambs & Ivy,,grey,,"52""/28""/4.5""",1
One Grace Place - Sassy Shaylee's Changing Pad Cover,9BD3A457,22.99,False,Nursery Bedding,One Grace Place,,,,-/-/-,One Grace Place Sassy Changing Pad Cover,41398456.0,14.99,False,Furniture / Baby Furniture / Changing Pad Covers,One Grace Place,,pink,,-/-/-,1
Roommates Winnie the Pooh Toddler Peel & Stick Wall Decals,12EFA9D1,14.99,False,Room Decor / Wall Decor,RoomMates,,,,-/-/-,RoomMates Winnie the Pooh Peel & Stick Wall Decals,18416182.0,13.99,False,Bedding & Decor / Baby Bedding / Wall Decals & Murals,RoomMates,,,,-/-/-,1
Carter's Elephant Walk Toddler Blanket,D6CC90B2,19.99,False,Kids' Bedding / Toddler Bedding,Carter's,,pink,fleece,-/-/-,Carter's Elephant Walk Blanket,43468386.0,17.99,False,Bedding & Decor / Baby Bedding / Baby Blankets,carter's,,pink / orange,fleece,"45""/30""/-",1
