Name_A,Address_A,City_A,Phone_A,type_A,Name_B,Address_B,City_B,Phone_B,type_B,Gold
'manhattan ocean club','57 w. 58th st.','new york','212/ 371-7777',seafood,'manhattan ocean club','57 w. 58th st.','new york city',212-371-7777,seafood,1
campanile,'624 s. la brea ave.','los angeles',213/938-1447,american,campanile,'624 s. la brea ave.','los angeles',213-938-1447,californian,1
picholine,'35 w. 64th st.','new york',212/724-8585,mediterranean,picholine,'35 w. 64th st.','new york city',212-724-8585,mediterranean,1
lespinasse,'2 e. 55th st.','new york',212/339-6719,american,'lespinasse (new york city)','2 e. 55th st.','new york city',212-339-6719,asian,1
'restaurant katsu','1972 n. hillhurst ave.','los angeles',213/665-1891,asian,katsu,'1972 hillhurst ave.','los feliz',213-665-1891,japanese,1
'indigo coastal grill','1397 n. highland ave.',atlanta,404/876-0676,caribbean,'indigo coastal grill','1397 n. highland ave.',atlanta,404-876-0676,eclectic,1
'circus circus','2880 las vegas blvd. s','las vegas',702/734-0410,buffets,'steak house  the','2880 las vegas blvd. s.','las vegas',702-734-0410,steakhouses,1
'restaurant  ritz-carlton  atlanta','181 peachtree st.',atlanta,404/659-0400,continental,'ritz-carlton restaurant','181 peachtree st.',atlanta,404-659-0400,'french (classic)',1
'island spice','402 w. 44th st.','new york',212/765-1737,'tel caribbean','island spice','402 w. 44th st.','new york city',212-765-1737,caribbean,1
'l\'orangerie','903 n. la cienega blvd.','los angeles',310/652-9770,french,'l\'orangerie','903 n. la cienega blvd.','w. hollywood',310-652-9770,'french (classic)',1
'le bernardin','155 w. 51st st.','new york',212/489-1515,french,'le bernardin','155 w. 51st st.','new york city',212-489-1515,seafood,1
'cafe des artistes','1 w. 67th st.','new york',212/877-3500,continental,'cafe des artistes','1 w. 67th st.','new york city',212-877-3500,'french (classic)',1
toulouse,'b peachtree rd.',atlanta,404/351-9533,french,toulouse,'293-b peachtree rd.',atlanta,404-351-9533,'french (new)',1
'fleur de lys','777 sutter st.','san francisco',415/673-7779,french,'fleur de lys','777 sutter st.','san francisco',415-673-7779,'french (new)',1
'pinot bistro','12969 ventura blvd.','los angeles',818/990-0500,french,'pinot bistro','12969 ventura blvd.','studio city',818-990-0500,'french bistro',1
'arnie morton\'s of chicago','435 s. la cienega blv.','los angeles',310/246-1501,american,'arnie morton\'s of chicago','435 s. la cienega blvd.','los angeles',310-246-1501,steakhouses,1
'smith & wollensky','201 e. 49th st.','new york',212/753-1530,american,'smith & wollensky','797 third ave.','new york city',212-753-1530,steakhouses,1
'plumpjack cafe','3201 fillmore st.','san francisco',415/563-4755,mediterranean,'plumpjack cafe','3127 fillmore st.','san francisco',415-563-4755,'american (new)',1
'bone\'s','3130 piedmont road',atlanta,404/237-2663,american,'bone\'s restaurant','3130 piedmont rd. ne',atlanta,404-237-2663,steakhouses,1
'cafe claude','7 claude la.','san francisco',415/392-3505,french,'cafe claude','7 claude ln.','san francisco',415-392-3505,'french bistro',1
'coyote cafe','3799 las vegas blvd. s','las vegas',702/891-7349,southwestern,'coyote cafe (las vegas)','3799 las vegas blvd. s.','las vegas',702-891-7349,southwestern,1
'pano\'s and paul\'s','1232 w. paces ferry rd.',atlanta,404/261-3662,international,'pano\'s & paul\'s','1232 w. paces ferry rd.',atlanta,404-261-3662,'american (new)',1
'rose pistola','532 columbus ave.','san francisco',415/399-0499,italian,'rose pistola','532 columbus ave.','san francisco',415-399-0499,italian,1
