Name_A,Address_A,City_A,State_A,Zipcode_A,Phone_A,Name_B,Address_B,City_B,State_B,Zipcode_B,Phone_B,Gold
Gombei Japanese Restaurant,1438 El Camino Real,Menlo Park ,CA,94025.0,(650) 329-1799,Gombei Japanese Restaurant,1438 El Camino Real,Menlo Park,CA,94025.0,(650) 329-1799,1
Menlo Grill Bistro & Bar,100 El Camino Real,Menlo Park ,CA,94025.0,(650) 330-2790,Menlo Grill Bistro & Bar,100 El Camino Real,Menlo Park,CA,94025.0,(650) 330-2790,1
The Cellar,1880 Century Park E Ste 102,Los Angeles ,CA,90067.0,(310) 277-1584,The Cellar Bar & Grill,1880 Century Park E,Los Angeles,CA,90067.0,(310) 277-1584,1
Pizza My Heart,220 University Ave,Palo Alto ,CA,94301.0,(650) 327-9400,Pizza My Heart,220 University Ave,Palo Alto,CA,94301.0,(650) 327-9400,1
Tamarine Restaurant,546 University Ave,Palo Alto ,CA,94301.0,(650) 325-8500,Tamarine Restaurant,546 University Ave,Palo Alto,CA,94301.0,(650) 325-8500,1
Mandarin House Restaurant,9150 Overland Plz,Saint Louis ,MO,63114.0,(314) 427-8070,Mandarin House Restaurant,9150 Overland Plz,Overland,MO,63114.0,(314) 427-8070,1
Sushi Kuu,1001 Alameda De Las Pulgas,Belmont ,CA,94002.0,(650) 592-1878,Sushi Kuu,1001 Alameda De Las Pulgas,Belmont,CA,94002.0,(650) 591-3474,1
Andalucia Tapas Restaurant & Bar,1201 San Jacinto St,Houston ,TX,77002.0,(832) 319-6673,Andalucia Tapas Restaurant & Bar,1201 San Jacinto St,Houston,TX,77002.0,(832) 319-6673,1
Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301.0,(650) 328-6885,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto,CA,94301.0,(650) 328-6885,1
Caffe Positano (village),6027 Paseo Delicias,Rancho Santa Fe ,CA,92067.0,(858) 759-1940,Caffe Positano,6027 Paseo Delicias,Rancho Santa Fe,CA,92067.0,(858) 759-1940,1
Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301.0,(650) 328-6885,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto,CA,94301.0,(650) 328-6885,1
Zola,565 Bryant St,Palo Alto ,CA,94301.0,(650) 521-0651,Zola,565 Bryant St,Palo Alto,CA,94301.0,(650) 521-0651,1
Tava Indian Kitchen,855 El Camino Real,Palo Alto ,CA,94301.0,(650) 321-8282,Tava Indian Kitchen,855 El Camino Real Ste 162,Palo Alto,CA,94301.0,(650) 321-8282,1
Asian Box,855 El Camino Real,Palo Alto ,CA,94301.0,(650) 391-9305,Asian Box,855 El Camino Real,Palo Alto,CA,94301.0,(650) 391-9305,1
Erawan Thai Restaurant,2639 Broadway St,Redwood City ,CA,94063.0,(650) 556-9966,Erawan Thai Restaurant,2639 Broadway St,Redwood City,CA,94063.0,(650) 556-9969,1
Islamorada Fish Company,17907 W Interstate 10,San Antonio ,TX,78257.0,(210) 253-8700,Islamorada Fish Company Restaurant,17907 W IH 10,San Antonio,TX,78257.0,(210) 253-8700,1
Plaza Gourmet,929 Edgewater Blvd,Foster City ,CA,94404.0,(650) 638-0213,Plaza Gourmet Delicatessen,929 Edgewater Blvd,Foster City,CA,94404.0,(650) 638-0213,1
Red Robin Gourmet Burgers,2204 Bridgepointe Pkwy,Foster City ,CA,94404.0,(650) 571-5500,Red Robin Gourmet Burgers,2204 Bridgepointe Pkwy,San Mateo,CA,94404.0,(650) 571-5500,1
Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301.0,(650) 328-6885,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto,CA,94301.0,(650) 328-6885,1
Sushi Lover,550 Masonic Way,Belmont ,CA,94002.0,(650) 593-2291,Sushi Lover,550 Masonic Way,Belmont,CA,94002.0,(650) 593-2291,1
Market Restaurant & Bar,3702 Via De La Valle,Del Mar ,CA,92014.0,(858) 523-0007,Market,3702 Via De La Valle,Del Mar,CA,92014.0,(858) 523-0007,1
Panera Bread,1445 Saint Louis Galleria,Saint Louis ,MO,63117.0,(314) 725-4237,Panera Bread,1445 St. Louis Galleria,Richmond Heights,MO,63117.0,(314) 725-4237,1
Saigon City Restaurant,418 E 3rd Ave,San Mateo ,CA,94401.0,(650) 340-8878,Saigon City,418 E 3rd Ave,San Mateo,CA,94401.0,(650) 340-8878,1
Buca di Beppo,7843 Park Ln,Dallas ,TX,75225.0,(214) 361-8462,Buca di Beppo Italian Restaurant,7843 Park Lane,Dallas,TX,75225.0,(214) 361-8462,1
Crepevine,367 University Ave,Palo Alto ,CA,94301.0,(650) 323-3900,Crepevine,367 University Ave,Palo Alto,CA,94301.0,(650) 323-3900,1
Sushi O Sushi Japanese Cuisine,2789 El Camino Real,Santa Clara ,CA,95051.0,(408) 241-1677,Sushi O Sushi,2789 El Camino Real,Santa Clara,CA,95051.0,(408) 241-1677,1
Panera Bread,3393 Peachtree Rd NE,Atlanta ,GA,30326.0,(404) 848-9997,Panera Bread,3393 Peachtree Rd NE,Atlanta,GA,30326.0,(404) 848-9997,1
Stresa Italian Restaurant,1524 Northern Blvd,Manhasset ,NY,11030.0,(516) 365-6956,Stresa Italian Restaurant,1524 Northern Blvd,Manhasset,NY,11030.0,(516) 365-6956,1
Grand Lux Cafe,600 N Michigan Ave Ste 7,Chicago ,IL,60611.0,(312) 276-2500,Grand Lux Cafe,600 N Michigan Ave,Chicago,IL,60611.0,(312) 276-2500,1
Hopdoddy Burger Bar,6030 Luther Ln,Dallas ,TX,75225.0,(214) 363-2337,Hopdoddy Burger Bar,6030 Luther Ln,Dallas,TX,75225.0,(214) 363-2337,1
Top Pot Doughnuts,8611 Hillcrest Ave Ste 195,Dallas ,TX,75225.0,(469) 232-9911,Top Pot Doughnuts,8611 Hillcrest Ave,Dallas,TX,75225.0,(469) 232-9911,1
Thaibodia,910 Woodside Rd,Redwood City ,CA,94061.0,(650) 365-2288,Thaibodia,910 Woodside Rd,Redwood City,CA,94061.0,(650) 365-2288,1
Panevino Ristorante Inc,8853 Tamiami Trl N,Naples ,FL,34108.0,(239) 514-8655,Panevino Ristorante,8853  N TAMIAMI TRAIL,Naples,FL,34108.0,(239) 514-8655,1
Joy Sushi,30 S B St,San Mateo ,CA,94401.0,(650) 340-8974,Joy Sushi,30 S B St,San Mateo,CA,94401.0,(650) 340-8974,1
Harbor Mist Restaurant,105 Harbor Rd,Cold Spring Harbor ,NY,11724.0,(631) 659-3888,Harbor Mist,105 Harbor Rd,Cold Spring Harbor,NY,11724.0,(631) 659-3888,1
Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301.0,(650) 328-6885,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto,CA,94301.0,(650) 328-6885,1
Genova Via,142 King St,Chappaqua ,NY,10514.0,(914) 861-2301,Genova Via,142 King St,Chappaqua,NY,10514.0,(914) 861-2301,1
Panda Garden,207 Oakridge Dr,South Salem ,NY,10590.0,(914) 533-1111,Panda Garden,207 Oakridge Dr,South Salem,NY,10590.0,(914) 533-1111,1
Chantilly Restaurant,3001 El Camino Real,Redwood City ,CA,94061.0,(650) 321-4080,Chantilly Restaurant,3001 El Camino Real,Redwood City,CA,94061.0,(650) 321-4080,1
Applewood,989 El Camino Real,Menlo Park ,CA,94025.0,(650) 328-1556,Applewood Pizza,1001 El Camino Real,Menlo Park,CA,94025.0,(650) 324-3486,1
Chaats & Currys,520 Lawrence Expy Ste 310,Sunnyvale ,CA,94085.0,(408) 746-9192,Chaats & Currys,520 Lawrence Expy,Sunnyvale,CA,94085.0,(408) 746-9192,1
Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto ,CA,94301.0,(650) 328-6885,Jing-Jing Szechwan Hunan Gourmet,443 Emerson St,Palo Alto,CA,94301.0,(650) 328-6885,1
Villa Roma,593 Woodside Rd,Redwood City ,CA,94061.0,(650) 365-5060,The Villa Roma Cocktail Lounge,593 Woodside Rd,Redwood City,CA,94061.0,(650) 365-5060,1
Da Pasquale,9749 Santa Monica Blvd,Beverly Hills ,CA,90210.0,(310) 859-3884,Da Pasquale Restaurant,9749 S Santa Monica Blvd,Beverly Hills,CA,90210.0,(310) 859-3884,1
Darbar Indian Cuisine,129 Lytton Ave,Palo Alto ,CA,94301.0,(650) 321-6688,Darbar Indian Cuisine,129 Lytton Ave,Palo Alto,CA,94301.0,(650) 321-6688,1
Gyu-Kaku,329 S Ellsworth Ave,San Mateo ,CA,94401.0,(650) 343-3255,Gyu-Kaku Japanese BBQ,329 S Ellsworth Ave,San Mateo,CA,94401.0,(650) 343-3255,1
Dusita Thai Cuisine,2325 El Camino Real Ste 104,Santa Clara ,CA,95050.0,(408) 247-5199,Dusita Thai Cuisine,2325 El Camino Real,Santa Clara,CA,95050.0,(408) 247-5199,1
Centreville Cafe,5800 Kennett Pike,Wilmington ,DE,19807.0,(302) 777-4911,Centreville Cafe,5800 Kennett Pike,Wilmington,DE,19807.0,(302) 777-4911,1
BLT Steak White Plains,221 Main St,White Plains ,NY,10601.0,(914) 467-5500,BLT Steak,221 Main St,White Plains,NY,10601.0,(914) 467-5500,1
Settebello Pizzeria,7864 E Coast Hwy,Newport Coast ,CA,92657.0,(949) 715-2072,Settebello Pizzeria Napoletana,7864 East Coast Hwy,Newport Coast,CA,92657.0,(949) 715-2072,1
First Class Pizza,21117 Newport Coast Dr,Newport Coast ,CA,92657.0,(949) 644-5888,Newport Coast First Class Pizza,21117 Newport Coast Dr,Newport Coast,CA,92657.0,(949) 644-5888,1
Sbarro,13783 W Oasis Service Rd,Lake Forest ,IL,60045.0,(847) 735-9900,Sbarro,13783 W Oasis Service Rd,Lake Forest,IL,60045.0,(847) 735-9900,1
Shiok Singapore Kitchen,1137 Chestnut St,Menlo Park ,CA,94025.0,(650) 838-9448,Shiok Singapore Kitchen,1137 Chestnut St,Menlo Park,CA,94025.0,(650) 838-9448,1
Il Mulino New York Long Island,1042 Northern Blvd,Roslyn ,NY,11576.0,(516) 621-1870,Il Mulino New York,1042 Northern Blvd,Roslyn,NY,11576.0,(516) 621-1870,1
