Name_A,Votes_A,Rating_A,Phone_A,Address_A,Zipcode_A,Cuisine_A,Name_B,Votes_B,Rating_B,Phone_B,Address_B,Zipcode_B,Cuisine_B,Gold
Los Gemelos,46,3.5,(608) 467-6999,"244 Gilman, Madison",53703,Mexican,Los Gemelos,95,3.5,(608) 467-6999,244 W Gilman St,53703,Mexican,1
Seongbukdong,18,3.4,(213) 738-8977,"3303 W 6th St, Los Angeles",90020,Korean,Seongbukdong,806,4.0,(213) 738-8977,3303 W 6th St,90020,Korean,1
El Burrito Loco,7,3.0,(608) 203-9670,"745 N High Point Rd, Madison",53717,Mexican,El Burrito Loco,1,4.0,(608) 203-9670,745 N High Point Rd,53717,Mexican,1
Hubbard Avenue Diner,563,3.7,(608) 831-6800,7445 Hubbard Ave,53562,"Breakfast, Desserts, Diner",Hubbard Avenue Diner,154,3.5,(608) 831-6800,7445 Hubbard Ave,53562,American (New),1
Harvest,242,3.4,(608) 255-6075,"21 N Pinckney St, Madison",53703,"American, French, Italian",Harvest,161,3.5,(608) 255-6075,21 N Pinckney St,53703,American (New),1
Alta,383,4.0,(212) 505-7777,"64 West 10th Street, New York",10011,"Mediterranean, Spanish",Alta,1379,4.0,(212) 505-7777,64 W 10th St,10011,Tapas Bars,1
Del Seoul,237,4.4,(773) 248-4227,"2568 N. Clark Street, Chicago",60614,"Asian, Fusion",Del Seoul,1365,4.0,(773) 248-4227,2568 N Clark St,60614,Korean,1
The Pikey,48,4.3,(323) 850-5400,"7617 W Sunset Blvd, Los Angeles",90046,British,The Pikey,401,4.0,(323) 850-5400,7617 W Sunset Blvd,90046,British,1
Cafe Express,172,3.5,(214) 999-9444,"3230 McKinney Avenue, Dallas",75204,"American, Healthy Food, Cafe",Cafe Express,77,3.5,(214) 999-9444,3230 McKinney Ave,75204,American (New),1
Jane,382,3.9,(212) 254-7000,"100 West Houston Street, New York",10012,American,Jane,2209,4.0,(212) 254-7000,100 W Houston St,10012,"American (Traditional),Traditional American Restaurants,Traditional American Restaurants",1
Saint Felix Hollywood,58,4.2,(323) 469-5001,"1602 Cahuenga Blvd, Los Angeles",90028,"American, Tapas",Saint Felix,498,4.0,(323) 469-5001,1602 N Cahuenga Blvd,90028,Bars,1
Ascension Coffee,65,3.8,(214) 741-3211,1621 Oak Lawn Avenue,75207,"Cafe, American",Ascension Coffee,426,4.0,(214) 741-3211,1621 Oak Lawn Ave,75207,Coffee & Tea,1
Gooseberry on the Square,6,2.5,(608) 467-6552,"1 S Pinckney St, Madison",53703,"Breakfast, Sandwich, Healthy Food",Gooseberry on the Square,6,2.5,(608) 467-6552,1 S Pinckney StSte 104,53703,Sandwiches,1
Espresso Royale Caffe,10,3.0,(608) 259-0800,"208 State St, Madison",53703,Coffee and Tea,Espresso Royale Caffe,36,3.5,(608) 259-0800,208 State St,53703,Coffee & Tea,1
